tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,genre1,genre2,genre3,url,averageRating,numVotes
tt0079945,movie,Star Trek: The Motion Picture,Star Trek: The Motion Picture,0,1979,,132,"Adventure,Mystery,Sci-Fi",Adventure,Mystery,Sci-Fi,https://www.imdb.com/title/tt0079945,6.4,81308
tt0080057,movie,Zombie,Zombi 2,0,1979,,91,Horror,Horror,,,https://www.imdb.com/title/tt0080057,6.9,25495
tt0080120,movie,The Warriors,The Warriors,0,1979,,92,"Action,Crime,Thriller",Action,Crime,Thriller,https://www.imdb.com/title/tt0080120,7.6,93456
tt0080179,movie,Drunken Master,Zui quan,0,1978,,111,"Action,Comedy",Action,Comedy,,https://www.imdb.com/title/tt0080179,7.5,36474
tt0080319,movie,9 to 5,Nine to Five,0,1980,,109,Comedy,Comedy,,,https://www.imdb.com/title/tt0080319,6.9,27489
tt0080339,movie,Airplane!,Airplane!,0,1980,,88,Comedy,Comedy,,,https://www.imdb.com/title/tt0080339,7.7,213835
tt0080360,movie,Altered States,Altered States,0,1980,,102,"Horror,Sci-Fi,Thriller",Horror,Sci-Fi,Thriller,https://www.imdb.com/title/tt0080360,6.9,32023
tt0080453,movie,The Blue Lagoon,The Blue Lagoon,0,1980,,104,"Adventure,Drama,Romance",Adventure,Drama,Romance,https://www.imdb.com/title/tt0080453,5.8,62763
tt0080455,movie,The Blues Brothers,The Blues Brothers,0,1980,,133,"Action,Adventure,Comedy",Action,Adventure,Comedy,https://www.imdb.com/title/tt0080455,7.9,182324
tt0080487,movie,Caddyshack,Caddyshack,0,1980,,98,"Comedy,Sport",Comedy,Sport,,https://www.imdb.com/title/tt0080487,7.3,104702
tt0080491,movie,Caligula,Caligola,0,1979,,156,"Drama,History",Drama,History,,https://www.imdb.com/title/tt0080491,5.4,33437
tt0080516,movie,The Changeling,The Changeling,0,1980,,107,Horror,Horror,,,https://www.imdb.com/title/tt0080516,7.2,30227
tt0080661,movie,Dressed to Kill,Dressed to Kill,0,1980,,104,"Crime,Drama,Mystery",Crime,Drama,Mystery,https://www.imdb.com/title/tt0080661,7.1,35336
tt0080678,movie,The Elephant Man,The Elephant Man,0,1980,,124,"Biography,Drama",Biography,Drama,,https://www.imdb.com/title/tt0080678,8.1,218830
tt0080684,movie,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode V - The Empire Strikes Back,0,1980,,124,"Action,Adventure,Fantasy",Action,Adventure,Fantasy,https://www.imdb.com/title/tt0080684,8.7,1152939
tt0080745,movie,Flash Gordon,Flash Gordon,0,1980,,111,"Action,Adventure,Sci-Fi",Action,Adventure,Sci-Fi,https://www.imdb.com/title/tt0080745,6.5,50873
tt0080749,movie,The Fog,The Fog,0,1980,,89,"Horror,Thriller",Horror,Thriller,,https://www.imdb.com/title/tt0080749,6.8,63978
tt0080761,movie,Friday the 13th,Friday the 13th,0,1980,,95,"Horror,Mystery,Thriller",Horror,Mystery,Thriller,https://www.imdb.com/title/tt0080761,6.5,119591
tt0080801,movie,The Gods Must Be Crazy,The Gods Must Be Crazy,0,1980,,109,"Adventure,Comedy",Adventure,Comedy,,https://www.imdb.com/title/tt0080801,7.3,52360
tt0080979,movie,Kagemusha,Kagemusha,0,1980,,180,"Drama,History,War",Drama,History,War,https://www.imdb.com/title/tt0080979,8.0,32011
